id,_3_4_methylenedioxyethylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
4380,,Violet,0,4.9,Polygonale,15.3,11.1,502
4381,,Violet,0,4.9,Polygonale,15.3,11.1,502
4382,,Violet,0,4.9,Polygonale,15.3,11.1,502
4383,,Violet,0,4.9,Polygonale,15.3,11.1,502
4384,,Violet,0,4.9,Polygonale,15.3,11.1,502
4420,,Vert,0,5.58,Autre,11.14,11.5,606
4421,,Vert,0,5.58,Autre,11.14,11.5,606
4422,,Vert,0,5.58,Autre,11.14,11.5,606
4423,,Vert,0,5.58,Autre,11.14,11.5,606
4424,,Vert,0,5.58,Autre,11.14,11.5,606
4425,,Rose,0,4.36,Rectangulaire_Carré,6.12,11.15,329
4426,,Rose,0,4.36,Rectangulaire_Carré,6.12,11.15,329
4427,,Beige,0,0,,0,0,0
4491,,Rose,0,5.64,Autre,14.17,10.16,544
4499,,Beige,0,0,,0,0,0
4525,,Jaune,0,5.94,Autre,11.45,9.36,471
4526,,Jaune,0,5.94,Autre,11.45,9.36,471
4527,,Jaune,0,5.94,Autre,11.45,9.36,471
4528,,Jaune,0,5.94,Autre,11.45,9.36,471
4529,,Jaune,0,5.94,Autre,11.45,9.36,471
4530,,Jaune,0,5.94,Autre,11.45,9.36,471
4553,,Rose,10.16,5.03,Circulaire,0,0,398
4579,,Beige,0,0,,0,0,0
4622,,Grise,0,0,,0,0,0
4631,,Blanc Cassé,0,0,,0,0,0
4731,,Translucide,0,0,,0,0,0
4732,,Translucide,0,0,,0,0,0
4808,,Vert,0,0,Polygonale,0,0,207
4809,,Jaune,0,0,,0,0,0
4909,,Bleue,0,3.89,Autre,11.28,15.23,467
4910,,Bleue,0,3.89,Autre,11.28,15.23,467
4911,,Bleue,0,3.89,Autre,11.28,15.23,467
4912,,Bleue,0,3.89,Autre,11.28,15.23,467
4930,,Jaune,8,6.1,Circulaire,0,0,413
4931,,Rose,0,5.9,Autre,8.2,11,418
4932,,Beige,0,0,,0,0,0
4981,,Beige,0,0,,0,0,0
4982,,Grise,0,5.65,Autre,12.19,8.91,454
4983,,Grise,0,5.65,Autre,12.19,8.91,454
4984,,Grise,0,5.65,Autre,12.19,8.91,454
5025,,Grise,0,6.1,Autre,12.12,9.18,468
5026,,Grise,0,6.1,Autre,12.12,9.18,468
5034,,Bleue,0,0,,0,0,0
5035,,Bleue,0,0,,0,0,0
5055,,Orange,0,3.25,Polygonale,11.58,13.08,423.6
5056,,Orange,0,3.1,Polygonale,11.6,13.14,376.7
5072,,Beige,0,0,,0,0,0
5075,,Rose,0,0,,0,0,0
5077,,Beige,0,0,,0,0,0
5078,,Beige,0,0,,0,0,0
5079,,Marron,0,0,,0,0,0
5080,,Blanc Cassé,0,0,,0,0,0
5081,,Bleue,0,0,,0,0,0
5082,,Blanc Cassé,0,0,,0,0,0
5083,,Rose,0,0,,0,0,0
5084,,Beige,0,0,,0,0,0
5085,,Blanc Cassé,0,0,,0,0,0
5086,,Blanche,0,0,,0,0,0
5087,,Blanche,0,0,,0,0,0
5088,,Blanche,0,0,,0,0,0
5089,,Orange,0,4.52,Rectangulaire_Carré,6.72,15.53,431
5091,,Rouge,0,4.44,Rectangulaire_Carré,6.74,15.51,443
5174,,Blanche,0,0,,0,0,0
5175,,Blanche,0,0,,0,0,0
5176,,Blanche,0,0,,0,0,0
5197,,Rose,0,0,,0,0,0
5199,,Beige,0,0,,0,0,0
5220,0,Orange,0,5.98,Triangulaire,10.6,10.8,456
5221,,Jaune,0,3.42,Autre,13.16,11.08,441
5222,,Jaune,0,3.42,Autre,13.16,11.08,441
5223,,Jaune,0,3.42,Autre,13.16,11.08,441
5224,,Orange,0,5.96,Triangulaire,10.59,10.78,455
5225,,Vert,0,5.29,Triangulaire,11.28,10.08,383
5339,,Blanche,0,0,,0,0,0
5340,,Blanche,0,0,,0,0,0
5341,,Blanche,0,0,,0,0,0
5379,,Rose,0,5.3,Autre,12.1,10.6,600
5380,,Rose,0,6,Autre,12.1,10.6,700
5381,,Jaune,0,5.2,Autre,12.1,10.6,600
5388,,Bleue,0,5.14,Polygonale,14.32,10.17,485
5389,,Bleue,0,5.14,Polygonale,14.32,10.17,485
5390,,Bleue,0,5.14,Polygonale,14.32,10.17,485
5401,,Beige,0,0,,0,0,0
5402,,Beige,0,0,,0,0,0
5403,,Bleue,0,4.96,Autre,7.5,8.14,242
5404,,Bleue,0,4.96,Autre,7.5,8.14,242
5447,,Bleue,0,3.97,Autre,10.93,10.93,398
5448,,Bleue,0,3.97,Autre,10.93,10.93,398
5449,,Bleue,0,3.97,Autre,10.93,10.93,398
5450,,Bleue,0,3.97,Autre,10.93,10.93,398
5451,,Bleue,0,3.97,Autre,10.93,10.93,398
5460,,Beige,0,0,,0,0,0
5569,,Bleue,0,4.63,Autre,9.64,9.04,300
5570,,Bleue,0,4.63,Autre,9.64,9.04,300
5571,,Bleue,0,4.63,Autre,9.64,9.04,300
5572,,Bleue,0,4.63,Autre,9.64,9.04,300
5573,,Bleue,0,4.63,Autre,9.64,9.04,300
5603,,Rose,10.26,5.11,Circulaire,0,0,412
5642,,Blanche,0,0,,0,0,0
5643,,Blanche,0,0,,0,0,0
5644,,Blanche,0,0,,0,0,0
5645,,Blanche,0,0,,0,0,0
5646,,Blanche,0,0,,0,0,0
5771,,Rose,0,3.61,Autre,9.69,9.74,354
5781,,Bleue,0,4.61,Autre,15.17,9.77,509.1
5782,,Bleue,0,4.61,Autre,15.17,9.77,537.6
5783,,Orange,0,3.85,Polygonale,10.1,14.04,411.6
5784,,Orange,0,3.85,Polygonale,10.1,14.04,408.6
5785,,Orange,0,3.85,Polygonale,10.1,14.04,381.3
5813,,Grise,0,4,Rectangulaire_Carré,9,12,453
5861,,Rose,0,5.39,Autre,11.21,11.84,646
5862,,Rose,0,5.39,Autre,11.21,11.84,646
5916,,Blanc Cassé,0,0,,0,0,0
6112,,Translucide,0,0,,0,0,0
6184,,Rose,0,4.94,Autre,9.82,10.67,352
6185,,Rose,0,5.36,Autre,0,9.45,245
6213,,Blanche,10.16,4.6,Circulaire,0,0,361
6214,,Blanche,10.16,4.6,Circulaire,0,0,361
6248,,Bleue,0,3.5,Rectangulaire_Carré,6.14,13.17,311.7
6249,,Bleue,0,3.28,Rectangulaire_Carré,6.14,13.17,295.2
6354,,Grise,0,5.21,Autre,14.23,10.21,501
6395,,Jaune,0,5.9,Autre,8.1,12.1,463
6396,,Jaune,0,5.6,Autre,8.1,12.1,453
6397,,Jaune,0,5.6,Autre,8.1,12.1,453
6398,,Vert,0,4.2,Polygonale,8.2,12.2,288
6399,,Vert,0,4.2,Polygonale,8.2,12.2,288
6400,,Jaune,0,5.6,Autre,8.1,12.1,447
6409,,Grise,0,6,Autre,12.2,9.1,469
6410,,Bleue,0,5.8,Autre,8.1,12,454
6411,,Jaune,0,5.8,Autre,8.1,12.1,472
6412,,Jaune,0,5.2,Autre,12.2,7.8,382
6509,,Blanche,0,0,,0,0,0
6535,,Multicolore,0,4.44,Autre,8.82,12.13,492
6536,,Multicolore,0,4.44,Autre,8.82,12.13,492
6537,,Multicolore,0,4.44,Autre,8.82,12.13,492
6538,,Multicolore,0,4.44,Autre,8.82,12.13,492
6539,,Multicolore,0,4.44,Autre,8.82,12.13,492
6581,,Translucide,0,0,,0,0,0
6582,,Translucide,0,0,,0,0,0
6583,,Translucide,0,0,,0,0,0
6584,,Translucide,0,0,,0,0,0
6755,,Blanc Cassé,0,0,,0,0,0
6756,,Blanche,0,0,,0,0,0
6833,,Blanche,0,0,,0,0,0
6834,,Blanche,0,0,,0,0,0
6835,,Blanche,0,0,,0,0,0
6836,,Blanche,0,0,,0,0,0
6837,,Blanche,0,0,,0,0,0
6838,,Blanche,0,0,,0,0,0
6850,,Rose,0,5.56,Autre,11.23,11.35,660
6992,,Blanche,0,0,,0,0,0
6993,,Blanche,0,0,,0,0,0
7088,,Rose,0,4.43,Autre,8.1,20.26,657
7089,,Rose,0,4.43,Autre,8.1,20.26,657
7090,,Rose,0,4.43,Autre,8.1,20.26,657
7091,,Rose,0,4.43,Autre,8.1,20.26,657
7092,,Rose,0,4.43,Autre,8.1,20.26,657
7093,,Rose,0,4.43,Autre,8.1,20.26,657
7094,,Rose,0,4.43,Autre,8.1,20.26,657
7095,,Rose,0,4.43,Autre,8.1,20.26,657
7096,,Rose,0,4.43,Autre,8.1,20.26,657
7097,,Rose,0,4.43,Autre,8.1,20.26,657
7098,,Rose,0,4.43,Autre,8.1,20.26,657
7099,,Rose,0,4.43,Autre,8.1,20.26,657
7100,,Rose,0,4.43,Autre,8.1,20.26,657
7104,,Orange,0,4.84,Triangulaire,9.67,12.68,404
7105,,Orange,0,4.84,Triangulaire,9.67,12.68,404
7106,,Orange,0,4.84,Triangulaire,9.67,12.68,404
7107,,Orange,0,4.84,Triangulaire,9.67,12.68,404
7108,,Orange,0,4.84,Triangulaire,9.67,12.68,404
7109,,Orange,0,4.84,Triangulaire,9.67,12.68,404
7110,,Orange,0,4.84,Triangulaire,9.67,12.68,404
7111,,Blanc Cassé,0,0,,0,0,0
