id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
257,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
258,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
259,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
260,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
261,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
262,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
263,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
264,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
265,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
266,35.5,0,Orange,0,4.8,Polygonale,9.1,10.9,486.5
269,0,0,Rose,0,2,Autre,13,5,438
270,0,0,Rose,0,2,Autre,13,5,438
271,0,0,Rose,0,2,Autre,13,5,438
272,0,0,Rose,0,2,Autre,13,5,438
297,91,0,Translucide,0,0,,0,0,0
336,22,0,Vert,11.18,4.17,Circulaire,0,0,375
337,22,0,Vert,11.18,4.17,Circulaire,0,0,375
343,31.6,0,Rouge,0,6.4,Rectangulaire_Carré,7.07,11.63,508
344,47,0,Orange,0,4.57,Autre,12.15,9.16,409
373,51,0,Jaune,0,4.92,Polygonale,11.72,8.6,396
395,33.6,0,Vert,0,0,,0,0,0
404,0,0,Blanc Cassé,0,0,,0,0,0
405,0,0,Blanc Cassé,0,0,,0,0,0
406,0,0,Blanc Cassé,0,0,,0,0,0
407,0,0,Blanc Cassé,0,0,,0,0,0
408,0,0,Blanc Cassé,0,0,,0,0,0
409,0,0,Blanc Cassé,0,0,,0,0,0
410,0,0,Blanc Cassé,0,0,,0,0,0
411,0,0,Blanc Cassé,0,0,,0,0,0
412,0,0,Blanc Cassé,0,0,,0,0,0
413,0,0,Blanc Cassé,0,0,,0,0,0
414,0,0,Blanc Cassé,0,0,,0,0,0
415,0,0,Blanc Cassé,0,0,,0,0,0
416,0,0,Blanc Cassé,0,0,,0,0,0
417,0,0,Blanc Cassé,0,0,,0,0,0
418,0,0,Blanc Cassé,0,0,,0,0,0
419,0,0,Blanc Cassé,0,0,,0,0,0
420,0,0,Blanc Cassé,0,0,,0,0,0
421,0,0,Blanc Cassé,0,0,,0,0,0
422,0,0,Blanc Cassé,0,0,,0,0,0
423,0,0,Blanc Cassé,0,0,,0,0,0
424,0,0,Blanc Cassé,0,0,,0,0,0
425,0,0,Blanc Cassé,0,0,,0,0,0
426,0,0,Blanc Cassé,0,0,,0,0,0
427,0,0,Blanc Cassé,0,0,,0,0,0
428,0,0,Blanc Cassé,0,0,,0,0,0
